ID,Answer
0,白色羽毛
1,《諸羅縣志》
2,袁晁
3,柏林陸軍學院
4,採用一局特殊的決勝局結束一盤比賽
5,聶耳
6,1884年
7,西漢的版圖向西擴張
8,雪梨
9,起到醜化
10,周星馳
11,三中老
12,無障礙環境
13,anticipation
14,2004年
15,碳酸鹽
16,華萊士
17,外面的部份溫度會比內部核心的低
18,經濟
19,100公里
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1861年
25,外交活動
26,拉丁文
27,猶太基督徒
28,1964年
29,霍克菲爾德
30,受害學校之一
31,《金驢記》
32,灣仔
33,《鄭和航海圖》
34,形容一種無限制的、自私、而野蠻的競爭情況
35,1964年
36,新北市
37,小白宮
38,沒有
39,南人
40,宋端宗
41,四千名
42,46億年
43,1070年
44,國民養老保險法
45,水上報告廳
46,1929年
47,航天技術
48,1934年
49,大型購物中心[UNK]開幕
50,嘉靖帝
51,武漢水利電力大學
52,1960年代
53,亞歷山大一世被刺殺
54,紐約市
55,基督教
56,預覽阿爾法版本
57,100萬
58,新北市
59,賓拉登死亡之事
60,路易十五
61,中國國民黨
62,三疊紀
63,阿拉貢國王卡洛斯三世
64,[SEP]熱帶雨林氣候
65,擺脫漢朝的控制
66,蔣中正
67,東漢
68,神秘式戰鬥機
69,弘治十二年
70,亞洲
71,1996年
72,德意志聯邦共和國
73,氦
74,西班牙人入侵納瓦爾
75,交通運輸部
76,高麗大學校主樓
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1959年
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,西漢元封二年
87,隋滅南陳
88,佛教
89,1861年
90,豐臣秀吉
91,三吳地區
92,英國
93,大躍進運動
94,國立武昌高等師範學校
95,蘇利南
96,1934年
97,[SEP]啡因療法
98,1913年
99,1952年
100,大象
101,1915年
102,1813年
103,有絲分裂
104,中華民國
105,高盧帝國
106,仁祖
107,十個
108,佛學論書
109,臺中高農
110,歐登堡
111,三天
112,1944年
113,安娜·德·薩伏伊皇后
114,咸豐帝
115,哈林河
116,孟加拉
117,男中音歌唱家
118,中原
119,60
120,威廉·洛厄爾·普特南
121,國務委員
122,德國
123,陳寅恪
124,年僅8歲
125,喃字受先天文字限制
126,二千九百公尺
127,1939年
128,害怕德軍在東線戰線上沒有足夠兵力應付俄國
129,福建林家
130,用來運貨
131,公民權
132,西人黨
133,2013年
134,臺北
135,東南亞南島民族
136,松陽縣
137,蘇聯
138,兩波
139,1944年
140,多腔磁控管雷達技術
141,點石齋畫報
142,南越地區
143,1988年
144,上吊方式
145,吉米卡特
146,沈括
147,《布告各省公啟》
148,勃艮地人
149,德蘇戰爭
150,髒層
151,世界衛生組織
152,1949年
153,最終解決德國問題條約
154,清光緒十七年
155,雕像
156,防止中國共產黨滲透
157,65000平方公里
158,乙醚
159,唐玄宗
160,卡爾梅克人
161,2000年
162,63位
163,副大法官
164,古希臘時代
165,盧安達語
166,政府填海造地
167,蔣中正
168,農民
169,網景通訊公司
170,9月1日
171,1999年
172,《天淨沙》
173,七十年代
174,公元68年
175,趙佗
176,莎草紙
177,岑智明
178,令法皇拿破侖三世對普宣戰
179,公元前362年
180,重建國家榮譽
181,28歲
182,1950年
183,羅馬尼亞
184,與燃煤取暖或燃油取暖相比，它的效率比較低
185,10度
186,自由黨
187,西歐
188,波士頓
189,1992年
190,下旋球
191,屯田兵制度
192,明朝
193,1863年
194,1876年
195,1998年
196,道縣玉蟾岩
197,赫爾戈蘭灣
198,森林
199,阿森納女子足球俱樂部
200,社會主義市場經濟
201,消費能力
202,1920年
203,中華人民共和國的外國貿易
204,多倫多
205,在軌道上驅動列車
206,[SEP]爾
207,美國中央情報局
208,凱瑟琳·赫本
209,數位訊號
210,受到中國與印度的文化所影響
211,亞歷山大一世
212,威尼斯影展
213,清涼
214,新北市
215,聯盟合作
216,甲午戰爭
217,克孜勒
218,三分天災
219,好在歷史是人民寫的
220,美觀
221,臺中市精密機械科技創新園區
222,雲南
223,1982年
224,1428年
225,天子
226,格爾拉赫峰
227,莫斯科中山大學
228,發明家
229,2006年
230,沒有發現
231,《人體器官移植條例》
232,1262年
233,增加米、糖等農作物產量
234,兩倍
235,耗盡了核心的氫燃料，質量大於0.4太陽質量
236,颱風
237,2014年
238,1970年
239,韓國
240,第一所美式大學
241,鋁土礦
242,萬神廟
243,農族
244,黑死病
245,2007年
246,查普曼
247,據傳在與比提尼亞國王的性行為中處於被動地位
248,2001年
249,頓塞爾提克隊
250,溥[UNK]
251,書記
252,決勝局必定是單數局
253,廣東省政府委員會
254,遊戲
255,1948年
256,漢語拼音方案
257,[SEP]年
258,高架車站
259,下薩克森邦
260,法蘭西第二帝國
261,廣東閩人
262,全勝紀錄
263,提高一般飛行員的命中率
264,哥白尼日心說
265,濃度低
266,光緒
267,明朝
268,1848年
269,1954年
270,1997年
271,自由韓國黨
272,《南華早報》
273,可以麻痺嗅覺神經
274,佛像
275,阿聯約
276,交通基建
277,坦克集團軍
278,南明
279,東方地平線的出現
280,自律心肌細胞
281,1961年
282,慕尼黑
283,離島機場
284,1237年
285,東羅馬
286,晉恭帝
287,德國
288,美國律師協會
289,1656年
290,唐代
291,廣開土大王
292,胡安·林茲
293,中華民國
294,1998年1月1日
295,太陽運動
296,孟懷玉
297,鈣離子
298,8月
299,羅納爾迪尼奧
300,秦軍
301,火山活動
302,坦丁·波菲洛格尼圖斯
303,拉丁字母
304,提升飛機的飛行安全
305,丁基羥基甲苯
306,中緬大戰
307,斯德哥爾摩
308,第三紀中新世
309,中華民國
310,高麗時期
311,靳雲鵬
312,1997年
313,《馬德里議定書》
314,446種
315,體驗之旅
316,亞德港
317,布爾什維克革命
318,金本位制度
319,彌爾歸納
320,紅色
321,1928年
322,商品期貨
323,十多個
324,300美元
325,楊宇霆
326,發展體育事業
327,元世祖
328,混合動力自行車
329,數學
330,亞熱帶季風氣候
331,經濟
332,目前沒有觀察到任何語言純[UNK]以力道來區分不同輔音
333,朱一貴
334,從事農業生產
335,使球穿越球網並落在對方球場內的任意一點
336,銃炮
337,1961年
338,1980年代
339,凱·艾維
340,北沃沮
341,1980年
342,耶柔米自希伯來文
343,第四心音
344,2010年
345,武漢
346,1886年
347,大克島
348,中華民國
349,倫敦大學
350,1930年代
351,岡仁波齊峰
352,1973年
353,突厥
354,三菱重工業長崎造船廠
355,南斯拉夫社會主義聯邦共和國
356,民主制度的恢復
357,硫化物
358,丹尼索瓦人混血
359,忽必烈
360,中國
361,2000年
362,蝸牛狀
363,奧地利
364,1955年
365,韓國
366,維京戈達島
367,1956年
368,史都華中校
369,1910年
370,突厥
371,侮辱蒙古使臣
372,1988年
373,2011年
374,地球優先
375,巴爾的摩市
376,彰化交流道
377,社團部
378,認為伊迪絲分散了托爾金對學業的注意力
379,電子郵件
380,元仁宗
381,楊浦區大連路
382,1860年
383,中國對處決犯人一直採取保密的措施
384,烏爾班八世
385,60年代
