ID,Answer
0,貝雷帽
1,諸羅縣志
2,袁晁
3,柏林陸軍學院
4,決勝局
5,聶耳
6,1884
7,文帝支持，中國造像到了隆盛時期。佛像風格漸轉向「秀骨清像」的風格，充滿飄逸高邁的藝術效果。隋唐時期，佛像變得雄健飽滿，雍容華麗。在宗教藝術世俗化的過程中，探索現實人的形象，從超凡脫俗走向慈祥關懷。五代兩宋佛像更走向人間化、世俗化，比唐代更為寫實逼真。元明清時期，佛像藝術進一步走近生活，進入了裝飾工藝
8,英國
9,醜化對手的作用。而所謂的間諜偽詐
10,周星馳
11,秀吉
12,高架車站
13,科學怪人
14,2004年
15,硫化氫
16,華萊士
17,恆星會因為外在的因素造成光度的變化，像是食雙星，還有極端的情形是由恆星自轉導致星斑造成變光。值得一提的食變星例子是大陵五，它在2.87天的週期中，光度規則的在2.3至3.5等之間變化著。一顆穩定的恆星內部是在流體靜力平衡的狀態下：在任何一個小體積內的力量相互之間幾乎確定都是完全平衡的。平衡的力是向內的
18,經濟
19,快。太空航具必須要有足夠的水平速度才能進入軌道，也就是重力加諸於太空航具的加速度必須小於或等於由水平運動產生的向心加速度。因此進入軌道的太空航具不只是進入太空，還必須要有足夠的軌道速度。對低地球軌道，這大約是28440公里/小時；相對之下，最快的飛機是美國空軍的X-15在1967年創造的，它的速度只有7920公里
20,愛爾蘭語
21,荷蘭
22,硫磺
23,塞爾維亞反對黨
24,1910
25,外交手段
26,拉丁文
27,基督徒
28,1964
29,霍克菲爾德
30,外遷
31,薩蒂里卡
32,
33,西沙群島
34,無神論
35,
36,新北市
37,小白宮
38,沒有任何示威申請得到當局通過
39,
40,宋端宗
41,四千名
42,
43,1070年
44,國民養老保險法
45,
46,1929
47,航天
48,1932
49,
50,康熙
51,強學堂
52,1960
53,亞歷山大一世
54,紐約
55,基督教
56,預覽阿爾法
57,100萬
58,
59,佔領行動
60,路易十五
61,中國共產黨
62,侏羅紀
63,卡洛斯三世
64,雨林氣候
65,
66,蔣中正
67,
68,武裝承襲自二戰，以機槍或者是機炮為主，並且能夠攜帶副油箱、炸彈與火箭彈等武器。在結構和使用的材料上，已經無法在部分地方繼續以非金屬材料構成，而必須以全金屬，尤其是高強度的鋁合金作為主要的機體結構。造成這種改變的趨勢除了飛行速度高以外，高速下的控制面變形導致運動能力遲緩或者是大幅降低是兩個主要因素。
69,
70,亞洲
71,1996年
72,資本主義陣營的德意志聯邦共和國
73,氦
74,，便加入了追隨依納爵的行列。
75,交通運輸部
76,高麗大學校主樓
77,朱少文
78,羽柴秀吉
79,俾斯麥
80,金泳三
81,1958
82,靈魂
83,科龍港
84,蓋爾人
85,四次重差觀測術
86,元封二年
87,
88,佛教
89,1861
90,豐臣秀吉
91,三吳
92,以色列
93,大躍進運動
94,強學堂
